409.0,81.0,47.1,27.02,0,40-50
378.0,73.0,40.51,24.06,1,30-40
380.0,71.0,39.51,24.22,1,30-40
382.0,67.0,37.16,24.53,1,20-30
381.5,66.0,36.42,27.7,1,20-30
402.0,71.0,42.37,22.58,0,30-40
398.5,72.0,41.99,22.24,0,30-40
392.0,69.0,40.31,21.99,1,20-30
393.0,69.0,39.76,22.91,1,20-30
418.5,82.0,44.1,24.16,0,20-30
416.0,82.0,44.36,23.43,0,20-30
419.0,79.5,44.13,22.88,0,30-40
419.0,80.0,44.41,24.24,0,30-40
420.0,81.0,43.56,25.98,0,30-40
419.0,79.0,43.46,24.06,0,30-40
429.0,72.0,39.21,23.56,0,30-40
427.0,72.0,38.83,22.83,0,30-40
435.5,81.0,44.05,23.07,0,50+
397.5,73.0,39.93,22.33,1,40-50
393.5,73.0,39.85,22.6,1,40-50
399.0,71.0,39.95,23.44,1,40-50
393.0,71.5,39.39,22.36,1,40-50
380.0,69.0,37.01,21.96,1,50+
381.5,69.0,37.77,21.68,1,50+
429.0,80.0,44.63,24.25,0,-20
390.0,76.0,41.59,25.1,0,30-40
395.5,75.5,43.36,24.95,0,30-40
458.5,83.0,46.88,25.0,0,30-40
418.0,75.0,40.45,23.24,0,40-50
381.0,65.0,37.65,18.51,1,30-40
400.0,71.5,42.13,22.51,0,40-50
374.0,65.0,37.58,21.27,1,40-50
375.0,66.0,37.53,21.57,1,40-50
450.5,83.0,47.15,27.3,0,40-50
435.0,83.5,47.08,25.87,0,20-30
436.0,83.5,47.39,26.48,0,20-30
451.0,73.0,41.43,24.92,0,30-40
448.0,74.0,40.23,25.5,0,30-40
421.0,67.0,36.55,21.73,1,30-40
420.0,67.0,36.29,21.38,1,30-40
430.0,72.5,40.65,23.86,0,40-50
431.0,71.0,40.43,24.32,0,40-50
424.0,74.5,42.55,22.78,1,40-50
424.0,75.0,42.78,22.93,1,40-50
391.0,69.0,37.8,21.66,0,40-50
387.5,69.5,38.39,20.93,0,40-50
382.0,68.0,35.58,23.29,1,50+
407.0,68.5,38.63,24.45,1,30-40
438.0,77.5,45.22,24.08,0,-20
441.0,78.0,45.55,23.49,0,-20
449.0,81.0,46.32,27.07,0,30-40
451.0,81.5,46.6,27.27,0,30-40
391.0,71.5,40.34,22.62,1,30-40
444.0,79.0,42.88,23.93,0,40-50
444.0,81.5,42.58,22.91,0,40-50
424.0,75.0,40.31,24.94,0,20-30
420.5,75.5,42.36,25.7,0,20-30
381.0,66.0,37.17,21.03,1,20-30
380.5,67.0,38.55,21.07,1,20-30
425.0,80.0,44.9,26.47,0,20-30
426.0,82.0,44.73,25.73,0,20-30
375.0,65.0,34.82,20.8,1,50+
377.0,65.0,34.86,20.12,1,50+
361.0,66.0,37.24,20.97,1,20-30
362.0,67.0,36.53,20.29,1,20-30
438.0,82.0,47.39,24.67,0,20-30
438.0,82.0,47.21,24.96,0,20-30
366.5,65.0,38.6,23.33,1,20-30
363.0,66.0,38.15,23.95,1,20-30
427.0,71.0,40.09,21.69,0,20-30
405.5,72.0,39.78,23.62,1,-20
404.0,72.0,39.59,24.22,1,-20
391.0,66.0,37.34,21.54,1,20-30
432.0,85.0,44.9,30.07,0,50+
423.0,81.0,44.97,28.96,0,50+
421.0,77.5,43.71,22.35,0,-20
417.0,77.5,43.37,21.78,0,-20
389.0,68.0,36.83,22.42,1,20-30
388.0,66.0,37.66,21.16,1,20-30
448.0,81.0,45.61,28.76,0,20-30
452.0,82.0,45.51,29.29,0,20-30
434.0,79.0,43.71,24.37,0,20-30
389.0,65.0,36.78,21.41,1,20-30
389.0,67.0,36.15,21.02,1,20-30
433.0,71.0,40.83,23.07,1,20-30
431.0,70.0,40.44,24.22,1,20-30
488.5,87.5,49.14,31.78,0,50+
479.0,90.0,51.02,30.69,0,50+
453.0,87.0,54.58,29.04,0,50+
451.5,88.5,55.03,28.45,0,50+
409.5,77.0,46.2,28.09,0,20-30
411.5,77.5,47.11,27.55,0,20-30
416.0,79.5,43.63,27.92,0,50+
416.0,80.0,44.0,29.26,0,50+
411.5,86.0,47.27,27.63,0,50+
409.0,86.5,47.3,27.64,0,50+
414.5,74.0,41.77,22.83,1,20-30
411.5,74.5,40.93,23.41,1,20-30
401.0,67.5,39.07,21.86,1,20-30
394.0,68.0,40.17,22.0,1,20-30
465.0,86.0,50.14,31.21,0,20-30
467.0,86.0,49.98,29.33,0,20-30
416.0,85.5,46.07,26.95,0,20-30
457.5,84.0,46.53,28.15,0,20-30
468.0,83.5,46.97,27.64,0,20-30
482.0,80.5,45.56,28.99,0,50+
476.0,81.0,46.83,28.53,0,50+
405.0,74.0,39.08,28.3,1,50+
398.0,75.0,39.38,28.19,1,50+
448.0,81.0,47.28,28.31,0,20-30
446.0,82.0,47.49,27.3,0,20-30
461.0,82.5,48.11,28.33,0,50+
463.0,87.5,47.98,28.4,0,50+
462.0,87.0,48.14,27.49,0,50+
416.0,75.0,44.93,29.71,0,50+
411.0,74.0,43.9,29.91,0,50+
443.0,80.0,47.41,28.91,0,50+
446.0,81.0,48.2,27.27,0,50+
448.5,78.0,46.41,27.8,0,50+
447.0,79.0,45.88,26.34,0,50+
470.5,80.0,47.77,34.54,0,50+
468.5,80.0,47.55,33.52,0,50+
446.0,89.0,54.59,31.06,0,50+
441.0,83.0,46.23,27.56,0,50+
448.0,83.0,47.02,27.86,0,50+
491.5,90.0,55.11,28.71,0,50+
433.5,76.0,42.48,26.44,1,50+
359.0,72.0,40.07,26.43,1,50+
365.0,72.0,40.14,27.49,1,50+
412.0,77.0,44.55,25.67,1,50+
406.5,69.5,37.82,28.69,1,50+
407.5,69.0,38.13,27.9,1,50+
422.0,83.5,47.88,27.34,0,50+
438.0,81.0,44.5,25.15,0,-20
436.0,81.0,45.83,24.69,0,-20
418.5,70.0,41.28,23.06,1,-20
405.5,68.0,38.93,23.78,1,-20
369.5,69.0,38.22,21.46,1,-20
374.0,68.5,37.82,21.89,1,-20
379.0,67.0,39.28,23.58,1,-20
380.5,67.0,39.14,22.82,1,-20
367.5,65.0,37.51,22.79,1,-20
366.0,62.0,38.02,23.69,1,-20
386.0,71.0,39.73,22.31,1,-20
384.0,72.0,38.46,22.4,1,-20
490.0,84.0,46.32,28.29,0,-20
491.0,85.0,47.01,27.67,0,-20
351.5,63.5,36.6,22.55,1,-20
375.0,63.0,35.76,19.38,1,-20
380.0,67.0,39.9,24.7,1,-20
380.0,67.0,39.44,22.62,1,-20
410.5,77.0,46.85,23.22,0,-20
407.0,77.5,46.42,23.23,0,-20
426.5,74.0,41.31,23.35,1,-20
426.0,74.0,42.07,23.03,1,-20
389.5,75.5,40.95,22.36,0,-20
390.0,76.0,41.82,21.86,0,-20
387.5,68.0,38.37,21.34,0,-20
384.0,70.0,38.16,21.32,0,-20
402.0,64.0,37.67,19.21,1,-20
406.0,64.0,37.54,19.76,1,-20
410.0,71.0,44.83,23.73,1,-20
410.0,72.0,43.97,23.6,1,-20
420.0,69.0,43.21,22.82,1,-20
420.0,71.0,40.99,22.72,1,-20
446.0,71.0,41.03,22.27,1,-20
448.0,71.0,41.45,20.64,1,-20
402.0,64.0,35.44,23.79,1,-20
402.0,63.0,36.22,22.67,1,-20
439.0,70.0,38.56,24.92,1,-20
435.0,72.0,39.69,24.78,1,-20
407.0,72.5,37.6,23.79,1,-20
